Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,,,,,,,,Stock,16519,14829,18029,15689,12949,11269,
,,,,,,90000605-1,PRIMAX 95,Sales,3640,3905,3425,4235,5110,5145,3905
,,,,,,,,Stock,15980,15980,19090,12240,12240,23160,
,,,,,,90000605-4,,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,STESYEN MINYAK AZIZ,90000613,SOUTH2,60060,,90000613-3,PRIMAX 95,Sales,5500,5000,5000,5000,6000,6500,6000
,,,,,,,,Stock,20000,20000,20000,20000,20000,20000,
,,,,,,90000613-1,BIODIESEL B7 (RETAIL),Sales,3000,3000,3000,3000,3000,1000,2000
,,,,,,,,Stock,16000,18000,20000,17000,14000,14000,
,,,,,,90000613-2,PRIMAX 95,Sales,5500,5000,5000,5000,6000,6500,6000
,,,,,,,,Stock,16000,16000,22000,23000,13000,22000,
,,,,,,90000613-4,PRIMAX 97,Sales,500,500,500,1000,1000,1500,1000
,,,,,,,,Stock,12000,11500,11000,10500,9500,8500,
,,,,,,,,,,,,,,,
,STESEN SERVIS IDRIS PARDI,90000622,SOUTH2,103740,,90000622-1,PRIMAX 95,Sales,5433,5767,5793,6614,7127,7280,5947
,,,,,,,,Stock,,16000,20000,14000,20000,15000,
,,,,,,90000622-3,PRIMAX 95,Sales,5434,5767,5793,6613,7126,7280,5946
,,,,,,,,Stock,,20000,15000,20000,16000,16000,
,,,,,,90000622-2,PRIMAX 95,Sales,5433,5766,5794,6613,7127,7280,5947
,,,,,,,,Stock,,20000,20000,20000,20000,20000,
,,,,,,90000622-4,BIODIESEL B7 (RETAIL),Sales,7460,8460,6460,2920,6000,4920,7000
,,,,,,,,Stock,,19000,16000,15000,23000,17000,
,,,,,,,,,,,,,,,
,KELAPA SAWIT PETRONAS SERVICE,90000626,SOUTH2,81900,,90000626-2,BIODIESEL B7 (RETAIL),Sales,4729,4547,4798,4471,4252,2152,4509
,,,,,,,,Stock,11924,11924,14835,3081,18656,9527,
,,,,,,90000626-4,PRIMAX 95,Sales,7232,6604,9210,10563,8416,7375,7493
,,,,,,,,Stock,18112,16231,15205,16086,11075,11484,
,,,,,,90000626-1,BIODIESEL B7 (RETAIL),Sales,4728,4546,4798,4471,4253,2153,4509
,,,,,,,,Stock,12156,8260,2042,24140,16367,17099,
,,,,,,90000626-3,PRIMAX 97,Sales,401,303,829,1128,789,787,517
,,,,,,,,Stock,12237,11779,11411,10536,9402,8708,
,,,,,,,,,,,,,,,
,H.J. ENTERPRISE,90000636,SOUTH2,54600,,90000636-1,PRIMAX 95,Sales,5325,5075,5400,5275,5875,5700,5800
,,,,,,,,Stock,21900,14300,12700,12700,23800,16600,
,,,,,,90000636-2,PRIMAX 95,Sales,5325,5075,5400,5275,5875,5700,5800
,,,,,,,,Stock,9200,20100,19800,15800,2900,2900,
,,,,,,90000636-4,PRIMAX 95,Sales,5325,5075,5400,5275,5875,5700,5800
,,,,,,,,Stock,16300,13800,8500,8500,21300,8600,
,,,,,,90000636-5,PRIMAX 97,Sales,3000,3000,3100,3400,3200,4100,4300
,,,,,,,,Stock,18800,15700,23600,20300,17500,13600,
,,,,,,90000636-3,PRIMAX 95,Sales,5325,5075,5400,5275,5875,5700,5800
,,,,,,,,Stock,16100,16300,19100,22500,22500,19200,
,,,,,,90000636-6,BIODIESEL B7 (RETAIL),Sales,2800,3200,2800,2800,2600,1900,3500
,,,,,,,,Stock,23100,20600,17200,14600,22500,19900,
,,,,,,,,,,,,,,,
,PERNIAGAAN MURIJAYA,90000638,SOUTH2,21840,,90000638-1,PRIMAX 95,Sales,3400,2834,3000,2833,2500,2467,2400
,,,,,,,,Stock,12680,13400,13400,24320,15820,15820,
,,,,,,90000638-2,PRIMAX 95,Sales,3400,2833,3000,2833,2500,2467,2400
,,,,,,,,Stock,17390,22850,14350,10810,22130,14630,
,,,,,,90000638-3,PRIMAX 95,Sales,3400,2833,3000,2834,2500,2466,2400
,,,,,,,,Stock,8488,8488,8488,8488,8488,8488,
,,,,,,90000638-4,BIODIESEL B7 (RETAIL),Sales,2000,2000,2000,1500,1200,1200,1300
,,,,,,,,Stock,12025,10025,8025,11485,9985,8585,
,,,,,,,,,,,,,,,
,KOPERASI SERBAGUNA PENEROKA,90000640,SOUTH2,60060,,90000640-3,PRIMAX 95,Sales,3540,3416,3637,3709,4161,4225,3377
,,,,,,,,Stock,12950,23730,16890,22270,22270,14170,
,,,,,,90000640-1,BIODIESEL B7 (RETAIL),Sales,3589,4519,4015,1851,3265,2705,3359
,,,,,,,,Stock,17710,19940,15450,16830,15000,22490,
,,,,,,90000640-2,PRIMAX 95,Sales,3540,3417,3636,3708,4162,4225,3377
,,,,,,,,Stock,23320,21730,21730,25320,17970,23260,
,,,,,,,,,,,,,,,
,FELDA TRADING SDN BHD,90000653,SOUTH1,54600,,90000653-1,BIODIESEL B7 (RETAIL),Sales,1800,800,1800,1000,1000,1200,1700
,,,,,,,,Stock,14000,11800,11000,9200,8200,7000,
,,,,,,90000653-2,PRIMAX 95,Sales,2500,2500,2500,2500,2700,2600,2700
,,,,,,,,Stock,17700,15000,12500,20900,18500,15700,
,,,,,,,,,,,,,,,
,PEEA ENTERPRISE,90000668,SOUTH2,131040,,90000668-4,PRIMAX 95,Sales,3018,2891,3176,3112,3271,3264,3035
,,,,,,,,Stock,20416,14677,14822,11567,17075,16483,
,,,,,,90000668-1,PRIMAX 97,Sales,838,778,1441,1066,1123,729,875
,,,,,,,,Stock,10623,9785,9007,7566,6500,16297,
,,,,,,90000668-3,PRIMAX 95,Sales,3017,2890,3175,3112,3271,3265,3035
,,,,,,,,Stock,14671,11357,11446,17549,17549,12626,
,,,,,,90000668-2,PRIMAX 95,Sales,3017,2890,3176,3112,3271,3265,3035
,,,,,,,,Stock,13080,18541,9636,13641,20637,16339,
,,,,,,90000668-5,BIODIESEL B7 (RETAIL),Sales,7405,7299,7321,6317,5471,4836,6870
,,,,,,,,Stock,18344,16399,9100,18159,17302,22751,
,,,,,,,,,,,,,,,
,KOPERASI PEKEBUN2 KECIL GETAH,90001016,EAST1,49140,,90001016-2,PRIMAX 95,Sales,1743,1902,1886,1623,1945,1907,1623
,,,,,,,,Stock,9928,9928,6362,1286,12240,12240,
,,,,,,90001016-3,PRIMAX 95,Sales,1742,1902,1886,1624,1946,1906,1623
,,,,,,,,Stock,10950,5752,1191,12653,12653,12653,
,,,,,,90001016-1,PRIMAX 95,Sales,1742,1903,1886,1623,1945,1906,1623
,,,,,,,,Stock,2440,13343,15737,14546,9652,3834,
,,,,,,90001016-4,PRIMAX 97,Sales,281,191,197,291,170,314,174
,,,,,,,,Stock,6426,6152,6094,5840,5588,5362,
,,,,,,90001016-5,BIODIESEL B7 (RETAIL),Sales,1453,1399,1892,410,1195,1646,1440
,,,,,,,,Stock,7800,6360,10493,14062,13600,12435,
,,,,,,,,,,,,,,,
,NIKANIAGA TRAVEL & TOURS SDN BHD,90001019,EAST1,92640,,90001019-4,BIODIESEL B7 (RETAIL),Sales,9787,7012,10611,4407,8231,8327,7583
,,,,,,,,Stock,13086,8926,12693,13086,14071,16850,
,,,,,,90001019-2,PRIMAX 97,Sales,195,203,318,204,199,228,405
,,,,,,,,Stock,14414,14206,13966,13668,13593,13205,
,,,,,,90001019-1,PRIMAX 95,Sales,4002,4303,4543,4402,4480,4507,4728
,,,,,,,,Stock,24194,16481,18622,23895,20703,17216,
,,,,,,90001019-3,PRIMAX 95,Sales,4002,4303,4542,4403,4480,4507,4728
,,,,,,,,Stock,10783,21494,21494,12596,18124,23506,
,,,,,,,,,,,,,,,
,KOPERASI SERBAGUNA DARA BERHAD,90001023,EAST2,70980,,90001023-4,PRIMAX 95,Sales,3162,3188,3211,4121,3846,2798,3618
,,,,,,,,Stock,13859,11420,9164,7133,9445,6578,
,,,,,,90001023-1,BIODIESEL B7 (RETAIL),Sales,1738,1628,1515,2120,1409,911,1324
,,,,,,,,Stock,13449,9897,7605,5444,13575,11870,
,,,,,,90001023-2,PRIMAX 95,Sales,3163,3189,3211,4121,3846,2798,3617
,,,,,,,,Stock,21505,20745,20394,12576,21477,16929,
,,,,,,90001023-3,PRIMAX 95,Sales,3163,3189,3210,4121,3847,2798,3617
,,,,,,,,Stock,26423,19329,10851,21871,13523,8969,
,,,,,,,,,,,,,,,
,SYKT SERBA ANIKA JENIS,90001027,EAST2,70980,,90001027-1,PRIMAX 95,Sales,2666,2000,2000,2667,2333,667,2333
,,,,,,,,Stock,9673,20775,20775,18180,14027,15580,
,,,,,,90001027-2,PRIMAX 95,Sales,2667,2000,2000,2666,2334,667,2334
,,,,,,,,Stock,13633,15588,12469,12390,12390,18107,
,,,,,,90001027-4,BIODIESEL B7 (RETAIL),Sales,2000,2000,3000,3000,3000,7000,2000
,,,,,,,,Stock,13695,16328,13664,10627,7365,9552,
,,,,,,90001027-3,PRIMAX 95,Sales,2667,2000,2000,2667,2333,666,2333
,,,,,,,,Stock,13715,20245,17203,14016,9720,17203,
,,,,,,,,,,,,,,,
,KOTA LAMA STESEN PAM & SERVIS,90001044,EAST1,32760,,90001044-4,,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90001044-1,BIODIESEL B7 (RETAIL),Sales,1500,1300,1500,750,2000,1300,1400
,,,,,,,,Stock,8700,12500,13000,10500,9000,8000,
,,,,,,90001044-2,PRIMAX 95,Sales,4350,4500,4900,4250,7500,4650,4050
,,,,,,,,Stock,7600,11800,12500,6000,9500,8600,
,,,,,,90001044-3,PRIMAX 95,Sales,4350,4500,4900,4250,7500,4650,4050
,,,,,,,,Stock,18000,17000,18000,14000,12500,16000,
,,,,,,,,,,,,,,,
,KOPERASI SERBAGUNA FELDA CHINI SATU,90001055,EAST2,81900,,90001055-2,PRIMAX 95,Sales,3177,2864,2362,3416,2970,2931,2620
,,,,,,,,Stock,26445,26445,18605,11572,6467,8276,
,,,,,,90001055-3,BIODIESEL B7 (RETAIL),Sales,4012,4989,2351,4029,3680,2809,3782
,,,,,,,,Stock,21932,18065,18520,16209,17662,19298,
,,,,,,90001055-4,PRIMAX 95,Sales,3176,2865,2363,3416,2971,2931,2620
,,,,,,,,Stock,17642,17642,17642,17642,17642,17642,
,,,,,,90001055-1,PRIMAX 95,Sales,3177,2865,2362,3416,2970,2931,2621
,,,,,,,,Stock,12651,2770,13312,13312,18733,13511,
,,,,,,,,,,,,,,,
,KOPERASI FELDA KERTEH SATU BERHAD,90001059,EAST1,65520,,90001059-1,BIODIESEL B7 (RETAIL),Sales,2833,2864,2477,1821,3149,3765,3046
,,,,,,,,Stock,19938,17129,14262,17275,20830,17784,
,,,,,,90001059-2,PRIMAX 95,Sales,3312,3465,3595,3669,4147,3583,3469
,,,,,,,,Stock,18936,18936,18936,10130,1049,1049,
,,,,,,90001059-3,PRIMAX 95,Sales,3312,3466,3595,3669,4147,3583,3469
,,,,,,,,Stock,22802,22802,14369,23325,21858,8936,
,,,,,,90001059-4,PRIMAX 95,Sales,3313,3466,3595,3668,4148,3582,3469
,,,,,,,,Stock,12944,2807,17691,17691,22802,22802,
,,,,,,,,,,,,,,,
,SELASIH SERVIS STESEN,90001065,EAST1,27300,,90001065-1,BIODIESEL B7 (RETAIL),Sales,1334,1485,1429,612,963,1317,1047
,,,,,,,,Stock,10232,14371,12854,11485,10924,9925,
,,,,,,90001065-4,PRIMAX 95,Sales,2069,1995,2006,1883,2103,2028,1780
,,,,,,,,Stock,17423,15183,13099,11162,9464,12612,
,,,,,,90001065-2,PRIMAX 95,Sales,2068,1994,2005,1883,2103,2028,1779
,,,,,,,,Stock,11556,12838,8882,4700,884,6338,
,,,,,,90001065-3,PRIMAX 95,Sales,2068,1994,2005,1884,2104,2027,1779
,,,,,,,,Stock,17577,17577,17577,17577,17577,13249,
